id,offerId,title,subheading,userReviewCount,roundedRating,rawPrice,offerCount,usedOnly,shopName,shippingCosts,shippingIsFreeOfCharge,isBestseller,total_capacity_gb,module_capacity_gb,num_modules,frequency_mts,cas_latency_raw,cas_latency_primary,voltage_v,form_factor,market,ram_category
200174645,44b5a6aeee2d6bde5199433d1467c14a,Kingston ValueRam 16GB DDR4-3200 CL22 (KVR32N22D8/16),RAM DDR4,,,120.94,17,False,PC Componentes IT,0.0,False,False,16.0,16.0,1.0,3200.0,CL 22-22-22,22.0,1.2,UDIMM,IT,DDR4
200294354,c2cd3aea2ea4e56b9cd079203405cac5,Patriot 64GB Kit DDR4-3600 CL18 (PVS464G360C8K),RAM DDR4,,80.0,567.12,9,False,4trade.store,9.8,False,False,64.0,32.0,2.0,3600.0,CL 18-20-20-40,18.0,1.35,UDIMM,IT,DDR4
201501279,caee1bc32c2516e28b5eb6f7317382de,Kingston FURY Beast 16GB Single-Kit DDR4-3200 CL16 (KF432C16BB1/16),RAM DDR4,,,151.19,13,False,PC Componentes IT,0.0,False,False,16.0,16.0,1.0,3200.0,CL 16-18-18,16.0,1.35,UDIMM,IT,DDR4
200568659,1ad6cd1bfad63c617aa07ce47d0042e6,Crucial 8GB DDR4-3200 CL22 (CT8G4DFRA32A),RAM DDR4,,,68.99,16,False,amazon-marketplace.it,0.0,False,False,8.0,8.0,1.0,3200.0,CL 22-22-22,22.0,1.2,UDIMM,IT,DDR4
6851711,36e365865c9b8275d698feacdfec33f0,G.Skill Ripjaws V 32GB Kit DDR4-3600 CL18 (F4-3600C18D-32GVK),RAM DDR4,16.0,90.0,207.9,12,False,alternate.it,19.9,False,False,32.0,16.0,2.0,3600.0,CL 18-22-22-42,18.0,1.35,UDIMM,IT,DDR4
200589226,88a7dace864fd603f72a8724fb5e4c2f,Patriot Viper Steel 32GB Kit DDR4-3600 CL18 (PVS432G360C8K),RAM DDR4,84.0,80.0,237.62,8,False,bpm-power.com/it,8.15,False,False,32.0,16.0,2.0,3600.0,CL 18-22-22-42,18.0,,UDIMM,IT,DDR4
6846353,f49fbec52ee7b23993501c8b764be8dd,G.Skill Trident Z RGB 32GB Kit DDR4-3600 CL16 (F4-3600C16D-32GTZRC),RAM DDR4,17.0,100.0,247.67,8,False,4trade.store,9.8,False,False,32.0,16.0,2.0,3600.0,CL 16-19-19-39,16.0,1.35,UDIMM,IT,DDR4
202828670,392a8b004d56728704ee9ec2b6eced08,Crucial Pro 64GB Kit DDR4-3200 CL22 (CP2K32G4DFRA32A),RAM DDR4,,,431.9,11,False,redgaming.it,5.9,False,False,64.0,32.0,2.0,3200.0,CL 22-22-22,22.0,1.2,UDIMM,IT,DDR4
200721630,8703ccf3ca877621eca202a82cb0d477,Kingston ValueRAM 32GB Kit SO-DIMM DDR4-3200 CL22 (KVR32S22D8/32),RAM DDR4,,,241.93,18,False,PC Componentes IT,0.0,False,False,32.0,16.0,2.0,3200.0,CL 22-22-22,22.0,1.2,SODIMM,IT,DDR4
202242468,a4aeebd2ef3ead66129d53da470f4ba3,ADATA Premier 8GB DDR4-2666 CL19 (AD4U26668G19-SGN),RAM DDR4,6.0,90.0,67.67,11,False,amazon-marketplace.it,10.01,False,False,8.0,8.0,1.0,2666.0,CL 19-19-19,19.0,1.2,UDIMM,IT,DDR4
6307153,e0e880ea25278d86c9c4e668e3b84590,Corsair Vengeance LPX 8GB,RAM DDR4,,,83.64,25,False,PC Componentes IT,0.0,False,False,8.0,,,,,,,UDIMM,IT,DDR4
6845241,ff79a51372288117b0c3ed007599a477,Patriot Viper Steel 16GB Kit DDR4-3200 CL16 (PVS416G320C6K),RAM DDR4,108.0,90.0,137.24,9,False,kaufland.it,6.8,False,False,16.0,8.0,2.0,3200.0,CL 16-18-18-36,16.0,1.35,UDIMM,IT,DDR4
